document_id,title,year,doi,article_url,wos_accession,unlabeled_pool_index,abstract_sha256
WOS:000566337800007,Design Principles for Aqueous Na-Ion Battery Cathodes,2020,10.1021/acs.chemmater.0c01582,https://doi.org/10.1021/acs.chemmater.0c01582,WOS:000566337800007,0,9934de5386af10468eca3018beac3b803cc59f94d1afde645feaee4611c5afe5
WOS:000356674900077,Transition metal oxide-carbon composites as conversion anodes for sodium-ion battery,2015,10.1016/j.electacta.2015.05.107,https://doi.org/10.1016/j.electacta.2015.05.107,WOS:000356674900077,1,2fed4f3cc3d5233b770abe89349af95177b1cb8d91002762c7e2bcf95536186d
WOS:000963580100001,Natural Lignin: A Sustainable and Cost-Effective Electrode Material for High-Temperature Na-Ion Battery,2024,10.1002/eem2.12538,https://doi.org/10.1002/eem2.12538,WOS:000963580100001,2,fe49487bcfbc4156d1226b47b261fd7a146d9aedcfc6b58372a97d8721f9d6eb
WOS:001076288400001,Hard carbons from automotive shredder residue (ASR) as potential anode active material for sodium ion battery,2023,10.1016/j.jpowsour.2023.233577,https://doi.org/10.1016/j.jpowsour.2023.233577,WOS:001076288400001,3,ec500677f34bd2423c8556cdc407748ae383ec3733a8ea36bd1942d7c63c2e3e
WOS:000385713200033,An Aqueous Symmetric Sodium-Ion Battery with NASICON-Structured Na3MnTi(PO4)3,2016,10.1002/anie.201606508,https://doi.org/10.1002/anie.201606508,WOS:000385713200033,4,c5c1c090f482f980c46a77b34d297c4c02cea25f33863c494529f68f73dacd43
WOS:000369461800057,Synthesis of three dimensional extended conjugated polyimide and application as sodium-ion battery anode,2016,10.1016/j.cej.2015.11.063,https://doi.org/10.1016/j.cej.2015.11.063,WOS:000369461800057,5,a1d2f9819c32802e1c76ad08371d22fcc0658d1ca18b0bee12c8c1661f38e157
WOS:000807773500001,Explorations Into the Viability of High Voltage Bipolar Na-Ion Cells Using Liquid Electrolytes,2022,10.3389/fenrg.2022.852630,https://doi.org/10.3389/fenrg.2022.852630,WOS:000807773500001,6,305ad5f993b8c51697fdce822351447e71d24b12228891c9f8274a81a196e0ef
WOS:001629677000001,One vanadium-based terpyridine complex as an anode for sodium-ion batteries,2026,10.1016/j.matlet.2025.139831,https://doi.org/10.1016/j.matlet.2025.139831,WOS:001629677000001,7,ed5bf6b18f8b0e3810acc63f62b1275cad91f610ebbf742ee73ae80f91514670
WOS:000480515400008,MnSe2 nanocubes as an anode material for sodium-ion batteries,2018,10.1016/j.mtener.2018.08.009,https://doi.org/10.1016/j.mtener.2018.08.009,WOS:000480515400008,8,2087b305f769ec41cb04a4c9a96629dee8115b083f68424b57b16de85830060e
WOS:000315165100016,An advanced sodium-ion rechargeable battery based on a tin-carbon anode and a layered oxide framework cathode,2013,10.1039/c3cp00070b,https://doi.org/10.1039/c3cp00070b,WOS:000315165100016,9,1bdeebec4dc2c809c9853db14517d5b695f8f6279efa9e5e843159527722efac
WOS:000670395200003,Palmyra Palm tree biomass-derived carbon low-voltage plateau region capacity on Na-ion battery and its full cell performance,2021,10.1016/j.jece.2021.105698,https://doi.org/10.1016/j.jece.2021.105698,WOS:000670395200003,10,228ff717158b2cae027145fb220e20107d9c1aa1b787957160629c05c28e9d4c
WOS:000369044100080,Carbonized-leaf Membrane with Anisotropic Surfaces for Sodium-ion Battery,2016,10.1021/acsami.5b10875,https://doi.org/10.1021/acsami.5b10875,WOS:000369044100080,11,43626ce7cee87425b53972e7b1588c355f23a866de4b7584e6fb47e0a3a829fd
WOS:000335620500001,Facile synthesis of V6O13 micro-flowers for Li-ion and Na-ion battery cathodes with good cycling performance,2014,10.1016/j.jcis.2014.03.028,https://doi.org/10.1016/j.jcis.2014.03.028,WOS:000335620500001,12,a9183d8a7bad5753c496fe6b3a8f348163b2775a5d57182189b5174490be15a8
WOS:000457551900098,"Nanostructured vanadium tri-oxides, as a long life and high performance anode for sodium-ion battery",2019,10.1016/j.electacta.2019.01.076,https://doi.org/10.1016/j.electacta.2019.01.076,WOS:000457551900098,13,6bcc4078bab7cb3a9cd08a12adb1cfe986c6e9c302b7daed761e8d50d19b8a38
WOS:000428083400006,Sulfur doped ultra-thin anatase TiO2 nanosheets/graphene nanocomposite for high-performance pseudocapacitive sodium storage,2018,10.1016/j.ensm.2017.11.008,https://doi.org/10.1016/j.ensm.2017.11.008,WOS:000428083400006,14,9dcd4d02ea6aa6b484b754bf4c0de07be8c078511cd729ed3435eb5c12386355
WOS:000591982200001,Unraveling the role of LiODFB salt as a SEI-forming additive for sodium-ion battery,2021,10.1007/s11581-020-03845-6,https://doi.org/10.1007/s11581-020-03845-6,WOS:000591982200001,15,d5220ca41e94de8c0992ab22985c41c4fa0a4d0eb131ff5aecc976d0b771c161
WOS:000795722200001,Na-Ion Battery with Graphite Anode and Na3V2(PO4)3 Cathode via Solvent-Co-Intercalation Process,2022,10.1002/admt.202200399,https://doi.org/10.1002/admt.202200399,WOS:000795722200001,16,47b5b6daff722027266691b1ecdd7191f1e4163028d3bef38327c5e9e8b3f5c3
WOS:000377642100025,Antimony/Graphitic Carbon Composite Anode for High-Performance Sodium-Ion Batteries,2016,10.1021/acsami.6b01761,https://doi.org/10.1021/acsami.6b01761,WOS:000377642100025,17,af457bda575824397d119ce666dea003487dd0cffb2aa3ffaefb0d6e1efe454b
WOS:000316369000004,Sodium ion battery anode properties of empty and C60-inserted single-walled carbon nanotubes,2013,10.1166/mex.2013.1095,https://doi.org/10.1166/mex.2013.1095,WOS:000316369000004,18,9da3946c394ca5a034964cb19e7480f6678f2148588e98a79f34261511887b9d
WOS:000637698200002,Insight into pre-sodiation in Na3V2(PO4)2F3/C @ hard carbon full cells for promoting the development of sodium-ion battery,2021,10.1016/j.cej.2020.127565,https://doi.org/10.1016/j.cej.2020.127565,WOS:000637698200002,19,1885039772c917938b96109c77f9e83fc9c8a78568d708bfda4f6592871bf3aa
